Stone_ID,Area,bbox,Centroid_X,Centroid_Y,Tier,Construction_Rank
1,195941,"[1003, 1390, 950, 514]",1478.0,1647.0,1,4
2,48136,"[1890, 1384, 157, 485]",1968.5,1626.5,1,5
3,336296,"[353, 1369, 646, 548]",676.0,1643.0,1,2
4,284445,"[996, 1367, 572, 541]",1282.0,1637.5,1,3
5,190315,"[0, 1365, 406, 536]",203.0,1633.0,1,1
6,3475,"[77, 978, 81, 127]",117.5,1041.5,3,1
7,187847,"[510, 975, 518, 388]",769.0,1169.0,2,4
8,226139,"[1030, 975, 644, 384]",1352.0,1167.0,2,5
9,7187,"[1024, 973, 123, 148]",1085.5,1047.0,3,2
10,165905,"[58, 972, 479, 390]",297.5,1167.0,2,2
11,166853,"[57, 972, 964, 391]",539.0,1167.5,2,3
12,24231,"[0, 970, 89, 389]",44.5,1164.5,2,1
13,7660,"[1607, 963, 96, 102]",1655.0,1014.0,3,3
14,2996,"[1554, 918, 57, 60]",1582.5,948.0,4,11
15,164107,"[1664, 890, 383, 489]",1855.5,1134.5,2,6
16,7053,"[632, 881, 89, 102]",676.5,932.0,4,4
17,2367,"[672, 821, 49, 60]",696.5,851.0,4,5
18,23701,"[1612, 808, 231, 166]",1727.5,891.0,4,13
19,1502,"[1546, 788, 32, 64]",1562.0,820.0,4,10
20,1931,"[1716, 784, 67, 50]",1749.5,809.0,4,14
21,9818,"[17, 769, 108, 205]",71.0,871.5,4,2
22,18139,"[1552, 741, 169, 177]",1636.5,829.5,4,12
23,102843,"[1150, 697, 406, 283]",1353.0,838.5,4,8
24,4695,"[1131, 696, 83, 106]",1172.5,749.0,4,7
25,6213,"[1497, 694, 114, 98]",1554.0,743.0,4,9
26,128836,"[722, 660, 430, 326]",937.0,823.0,4,6
27,3161,"[1206, 640, 87, 57]",1249.5,668.5,5,4
28,192603,"[87, 628, 602, 350]",388.0,803.0,4,3
29,22447,"[0, 621, 109, 343]",54.5,792.5,4,1
30,11831,"[1555, 582, 155, 144]",1632.5,654.0,5,6
31,61876,"[1237, 471, 358, 241]",1416.0,591.5,5,5
32,5016,"[1096, 452, 104, 83]",1148.0,493.5,6,7
33,113566,"[680, 449, 524, 251]",942.0,574.5,5,3
34,69194,"[303, 446, 374, 214]",490.0,553.0,5,2
35,55103,"[0, 438, 308, 209]",154.0,542.5,5,1
36,165185,"[1662, 393, 385, 987]",1854.5,886.5,4,15
37,7225,"[1694, 390, 102, 130]",1745.0,455.0,6,14
38,5017,"[1642, 377, 88, 86]",1686.0,420.0,6,13
39,15108,"[1434, 349, 152, 158]",1510.0,428.0,6,12
40,1980,"[1710, 335, 74, 45]",1747.0,357.5,6,15
41,21837,"[1181, 332, 120, 216]",1241.0,440.0,6,9
42,19882,"[1288, 330, 146, 168]",1361.0,414.0,6,11
43,41669,"[1181, 330, 253, 217]",1307.5,438.5,6,10
44,41841,"[1019, 330, 415, 219]",1226.5,439.5,6,8
45,201392,"[1502, 328, 545, 585]",1774.5,620.5,5,7
46,19217,"[1012, 327, 167, 125]",1095.5,389.5,6,6
47,25442,"[647, 327, 225, 136]",759.5,395.0,6,4
48,22942,"[448, 323, 201, 126]",548.5,386.0,6,3
49,24443,"[256, 318, 206, 141]",359.0,388.5,6,2
50,19693,"[864, 301, 146, 149]",937.0,375.5,6,5
51,36342,"[0, 296, 265, 153]",132.5,372.5,6,1
52,1493,"[528, 273, 46, 38]",551.0,292.0,7,3
53,9675,"[555, 271, 243, 65]",676.5,303.5,7,4
54,9988,"[17, 254, 235, 56]",134.5,282.0,7,1
55,12885,"[245, 253, 218, 77]",354.0,291.5,7,2
56,17814,"[1347, 238, 191, 132]",1442.5,304.0,7,11
57,14490,"[1006, 237, 238, 68]",1125.0,271.0,7,8
58,7186,"[864, 232, 140, 65]",934.0,264.5,7,5
59,21867,"[1532, 213, 203, 138]",1633.5,282.0,7,15
60,40088,"[1347, 213, 387, 157]",1540.5,291.5,7,13
61,4101,"[1244, 191, 58, 107]",1273.0,244.5,7,9
62,16382,"[1261, 177, 188, 118]",1355.0,236.0,7,10
63,2607,"[1447, 177, 61, 62]",1477.5,208.0,7,12
64,10340,"[1450, 176, 251, 59]",1575.5,205.5,7,14
65,33423,"[1005, 151, 238, 154]",1124.0,228.0,7,6
66,16804,"[1007, 151, 235, 93]",1124.5,197.5,7,7
